,element,inputi,verifikacija
0,selekt,click,Nema greske
1,selekt,click,Nema greske
2,selekt,click,Nema greske
3,selekt,click,Nema greske
4,selekt,click,Nema greske
5,selekt,click,Nema greske
6,selekt,click,Nema greske
7,selekt,click,Nema greske
8,selekt,click,Nema greske
9,selekt,click,Nema greske
10,selekt,click,Nema greske
11,selekt,click,Nema greske
12,selekt,click,Nema greske
13,selekt,click,Nema greske
14,selekt,click,Nema greske
15,selekt,click,Nema greske
16,selekt,click,Nema greske
17,selekt,click,Nema greske
18,selekt,click,Nema greske
19,selekt,click,Nema greske
20,selekt,click,Nema greske
21,selekt,click,Nema greske
22,selekt,click,Nema greske
23,selekt,click,Nema greske
24,selekt,click,Nema greske
25,selekt,click,Nema greske
26,selekt,click,Nema greske
27,selekt,click,Nema greske
28,selekt,click,Nema greske
29,selekt,click,Nema greske
30,selekt,click,Nema greske
31,selekt,click,Nema greske
32,selekt,click,Nema greske
33,selekt,click,Nema greske
34,selekt,click,Nema greske
35,selekt,click,Nema greske
36,selekt,click,Nema greske
37,selekt,click,Nema greske
38,selekt,click,Nema greske
39,selekt,click,Nema greske
40,selekt,click,Nema greske
41,selekt,click,Nema greske
42,selekt,click,Nema greske
43,selekt,click,Nema greske
44,selekt,click,Nema greske
45,selekt,click,Nema greske
46,selekt,click,Nema greske
47,selekt,click,Nema greske
48,selekt,click,Nema greske
49,selekt,click,Nema greske
50,selekt,click,Nema greske
51,selekt,click,Nema greske
52,selekt,click,Nema greske
53,selekt,click,Nema greske
54,selekt,click,Nema greske
55,selekt,click,Nema greske
56,selekt,click,Nema greske
57,selekt,click,Nema greske
58,selekt,click,Nema greske
59,selekt,click,Nema greske
60,selekt,click,Nema greske
61,selekt,click,Nema greske
62,selekt,click,Nema greske
63,selekt,click,Nema greske
64,selekt,click,Nema greske
65,selekt,click,Nema greske
66,selekt,click,Nema greske
67,selekt,click,Nema greske
68,selekt,click,Nema greske
69,selekt,click,Nema greske
70,selekt,click,Nema greske
71,selekt,click,Nema greske
72,selekt,click,Nema greske
73,selekt,click,Nema greske
74,selekt,click,Nema greske
75,selekt,click,Nema greske
76,selekt,click,Nema greske
77,selekt,click,Nema greske
78,selekt,click,Nema greske
79,selekt,click,Nema greske
80,selekt,click,Nema greske
81,selekt,click,Nema greske
82,selekt,click,Nema greske
83,selekt,click,Nema greske
84,selekt,click,Nema greske
85,selekt,click,Nema greske
86,selekt,click,Nema greske
87,selekt,click,Nema greske
88,selekt,click,Nema greske
89,selekt,click,Nema greske
90,selekt,click,Nema greske
91,selekt,click,Nema greske
92,selekt,click,Nema greske
93,selekt,click,Nema greske
94,selekt,click,Nema greske
95,selekt,click,Nema greske
96,selekt,click,Nema greske
97,selekt,click,Nema greske
98,selekt,click,Nema greske
99,selekt,click,Nema greske
100,selekt,click,Nema greske
101,selekt,click,Nema greske
102,selekt,click,Nema greske
103,selekt,click,Nema greske
104,selekt,click,Nema greske
105,selekt,click,Nema greske
106,selekt,click,Nema greske
107,selekt,click,Nema greske
108,selekt,click,Nema greske
109,selekt,click,Nema greske
110,selekt,click,Nema greske
111,selekt,click,Nema greske
112,selekt,click,Nema greske
113,selekt,click,Nema greske
114,selekt,click,Nema greske
115,selekt,click,Nema greske
116,selekt,click,Nema greske
