,element,userInputs,verification
0,lst17325claimsummary.pdfOther,click,No errors
1,lst17325claimsummary.pdfInvoice,click,No errors
2,lst17325claimsummary.pdfNADA guide,click,No errors
3,lst17325claimsummary.pdfEstimate,click,No errors
4,lst17325claimsummary.pdfEstimate export,click,No errors
5,lst17325claimsummary.pdfClaim summary,click,No errors
6,lst17325claimsummary.pdfUpd estimate,click,No errors
7,lst17325claimsummary.pdfPart search,click,No errors
8,lst17325claimsummary.pdfCCC form,click,No errors
9,lst17325claimsummary.pdfSupplement,click,No errors
10,lst17325claimsummary.pdfTowing,click,No errors
11,lst17325claimsummary.pdfPart invoices,click,No errors
12,lst17325claimsummary.pdfRecall report,click,No errors
13,lst17325claimsummary.pdfADP form,click,No errors
14,lst17325claimsummary.pdfMitchell form,click,No errors
15,lst17325claimsummary.pdfShop supplement,click,No errors
16,lst17325claimsummary.pdfSalvage bid request,click,No errors
17,lst17325claimsummary.pdfW9,click,No errors
18,lst17325claimsummary.pdfPhoto gallery,click,No errors
19,lst17325claimsummary.pdfDOI reinspection,click,No errors
20,lst17325claimsummary.pdfReport,click,No errors
21,lst17325frontend.jpgVIN,click,No errors
22,lst17325frontend.jpgPlate,click,No errors
23,lst17325frontend.jpgMileage,click,No errors
24,lst17325frontend.jpgRegistration,click,No errors
25,lst17325frontend.jpgMeasurement,click,No errors
26,lst17325frontend.jpgInterior,click,No errors
27,lst17325frontend.jpgLeft front,click,No errors
28,lst17325frontend.jpgRight front,click,No errors
29,lst17325frontend.jpgLeft rear,click,No errors
30,lst17325frontend.jpgRight rear,click,No errors
31,lst17325frontend.jpgFront,click,No errors
32,lst17325frontend.jpgRear,click,No errors
33,lst17325frontend.jpgCenter console,click,No errors
34,lst17325frontend.jpgUpd,click,No errors
35,lst17325frontend.jpgDriver door trip panel,click,No errors
36,lst17325frontend.jpgFront seats,click,No errors
37,lst17325frontend.jpgRear seats,click,No errors
38,lst17325frontend.jpgCarpet,click,No errors
39,lst17325frontend.jpgOptions,click,No errors
40,lst17325frontend.jpgTransmission,click,No errors
41,lst17325frontend.jpgHeadliner,click,No errors
42,lst17325frontend.jpgEngine,click,No errors
43,lst17325frontend.jpgBedliner,click,No errors
44,lst17325frontend.jpgPoint of impact 1,click,No errors
45,lst17325frontend.jpgPoint of impact 2,click,No errors
46,lst17325frontend.jpgStructural impact,click,No errors
47,lst17325frontend.jpgCooling,click,No errors
48,lst17325frontend.jpgElectrical,click,No errors
49,lst17325frontend.jpgDamage from left,click,No errors
50,lst17325frontend.jpgDamage from right,click,No errors
51,lst17325frontend.jpgDamage from above,click,No errors
